List Name,Unit Name,Title,Color,Weapon,HP1-,ATK1-,SPD1-,DEF1-,RES1-,HP1,ATK1,SPD1,DEF1,RES1,HP1+,ATK1+,SPD1+,DEF1+,RES1+,HP40-,ATK40-,SPD40-,DEF40-,RES40-,HP40,ATK40,SPD40,DEF40,RES40,HP40+,ATK40+,SPD40+,DEF40+,RES40+,WHP,WATK,WSPD,WDEF,WRES,Possible,HP,ATK,SPD,DEF,RES
Abel,Abel,The Panther,Blue,Lance,15,5,7,7,4,16,6,8,8,5,17,7,9,9,6,33,27,27,21,20,36,30,30,24,23,39,33,33,27,26,0,5,-5,0,0,1,neutral,boon,boon,neutral,bane
Alfonse,Alfonse,Prince of Askr,Red,Sword,n/a,n/a,n/a,n/a,n/a,18,9,5,8,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,40,33,23,30,20,n/a,n/a,n/a,n/a,n/a,0,11,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Alfonse (Spring),Alfonse,Spring Prince,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,bane
Alm,Alm,Hero of Prophecy,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,boon,boon,boon,neutral,bane
Amelia,Amelia,Rose of the War,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,boon,bane
Anna,Anna,Commander,Green,Axe,n/a,n/a,n/a,n/a,n/a,18,7,10,4,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,38,27,36,20,25,n/a,n/a,n/a,n/a,n/a,0,11,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Arden,Arden,Strong and Tough,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Ares,Ares,Black Knight,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,neutral,bane
Arthur,Arthur,Hapless Hero,Green,Axe,17,7,5,7,3,18,8,6,8,4,19,9,7,9,5,37,27,23,25,19,40,30,26,28,22,43,33,29,31,25,0,8,0,0,0,1,neutral,boon,bane,boon,bane
Arvis,Arvis,Emperor of Flame,Red,Tome,n/a,n/a,n/a,n/a,n/a,17,8,7,3,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,31,32,29,15,30,n/a,n/a,n/a,n/a,n/a,0,9,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Athena,Athena,Borderland Sword,Red,Sword,15,5,9,7,3,16,6,10,8,4,17,7,11,9,5,31,25,33,23,19,34,28,36,26,22,37,31,39,29,25,0,9,0,0,0,1,bane,boon,boon,neutral,bane
Ayra,Ayra,Astra's Wielder,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,bane,bane
Azama,Azama,Carefree Monk,Colorless,Staff,17,2,6,7,4,18,3,7,8,5,19,4,8,9,6,37,16,22,27,20,40,19,25,30,23,43,22,28,33,26,0,3,0,0,0,1,neutral,bane,neutral,boon,bane
Azura,Azura,Lady of the Lake,Blue,Lance,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,neutral
Azura (New Year),Azura,Celebratory Spirit,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,neutral
Azura (PA),Azura,Lady of Balads,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,boon,bane,boon
Barst,Barst,The Hatchet,Green,Axe,18,8,7,4,2,19,9,8,5,3,20,10,9,6,4,40,28,27,24,12,43,31,30,27,15,46,34,33,30,18,0,5,-5,0,0,1,bane,neutral,boon,neutral,bane
Bartre,Bartre,Fearless Warrior,Green,Axe,19,9,4,6,1,20,10,5,7,2,21,11,6,8,3,43,31,20,28,9,46,34,23,31,12,49,37,26,34,15,0,8,0,0,0,1,neutral,boon,bane,neutral,bane
