List Name,Unit Name,Title,Color,Weapon,HP1-,ATK1-,SPD1-,DEF1-,RES1-,HP1,ATK1,SPD1,DEF1,RES1,HP1+,ATK1+,SPD1+,DEF1+,RES1+,HP40-,ATK40-,SPD40-,DEF40-,RES40-,HP40,ATK40,SPD40,DEF40,RES40,HP40+,ATK40+,SPD40+,DEF40+,RES40+,WHP,WATK,WSPD,WDEF,WRES,Possible,HP,ATK,SPD,DEF,RES
Abel,Abel,The Panther,Blue,Lance,15,5,6,6,4,16,6,7,7,5,17,7,8,8,6,32,26,25,19,19,35,29,28,22,22,38,32,31,25,25,0,8,0,0,0,1,neutral,boon,boon,neutral,bane
Alfonse,Alfonse,Prince of Askr,Red,Sword,n/a,n/a,n/a,n/a,n/a,18,8,5,7,4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,39,31,22,28,19,n/a,n/a,n/a,n/a,n/a,0,8,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Alfonse (Spring),Alfonse,Spring Prince,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,bane,boon,boon,neutral,bane
Alm,Alm,Hero of Prophecy,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,boon,boon,boon,neutral,bane
Amelia,Amelia,Rose of the War,Green,Axe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,boon,bane
Anna,Anna,Commander,Green,Axe,n/a,n/a,n/a,n/a,n/a,18,6,9,4,5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,37,25,34,19,24,n/a,n/a,n/a,n/a,n/a,0,8,0,0,0,1,neutral,neutral,neutral,neutral,neutral
Arden,Arden,Strong and Tough,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,neutral,neutral,neutral,neutral
Ares,Ares,Black Knight,Red,Sword,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,neutral,boon,boon,neutral,bane
Arthur,Arthur,Hapless Hero,Green,Axe,17,6,5,6,3,18,7,6,7,4,19,8,7,8,5,36,25,22,23,18,39,28,25,26,21,42,31,28,29,24,0,8,0,0,0,1,neutral,boon,bane,boon,bane
Arvis,Arvis,Emperor of Flame,Red,Tome,n/a,n/a,n/a,n/a,n/a,17,7,6,3,6,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,30,30,27,14,29,n/a,n/a,n/a,n/a,n/a,0,6,0,0,0,1,neutral,neutral,neutral,neutral,neutral
